Tier,Income,Term,Loan Purpose,FICO,Member,Affiliate Channel,Grid Assigned,Loan Amount,Rate Selected,WAC,Approved,Declined,Conversion Rate,Converted,Doc Upload,DS to Signed (days)
2,96238,7,Medical,843,NonMember,Affiliate,AG,40935,0.03507,0.03507,1,0,0.400,0,1,
10,46007,4,MajorPurchase,625,NonMember,NonAffiliate,AD,12472,0.05981,0.05981,0,1,0.000,0,0,
4,73171,6,HomeImprovement,723,NonMember,NonAffiliate,AC,35884,0.04679,0.04679,1,0,0.450,1,1,9
10,48698,6,Auto,638,NonMember,Affiliate,AF,25571,0.06045,0.06045,0,1,0.000,0,0,
10,44453,5,DebtConsolidation,609,NonMember,Affiliate,AA,17684,0.05967,0.05967,0,1,0.000,0,0,
4,53353,5,DebtConsolidation,696,Member,Affiliate,AF,30207,0.04691,0.04691,0,1,0.000,0,0,
2,80715,2,Medical,817,Member,Affiliate,AD,43667,0.03200,0.03200,1,0,0.500,0,1,
2,84401,2,Medical,844,Member,NonAffiliate,AH,39818,0.03200,0.03200,1,0,0.550,1,1,7
7,47099,4,DebtConsolidation,655,NonMember,Affiliate,AA,28073,0.05189,0.05189,0,1,0.000,0,0,
2,83680,4,HomeImprovement,824,Member,NonAffiliate,AH,38210,0.03379,0.03379,1,0,0.550,0,1,
4,66863,6,MajorPurchase,727,Member,NonAffiliate,AF,22813,0.04615,0.04615,0,1,0.000,0,0,
6,61932,5,DebtConsolidation,702,NonMember,Affiliate,AA,36464,0.04675,0.04675,1,0,0.400,1,1,5
6,61413,4,MajorPurchase,678,NonMember,Affiliate,AF,20447,0.05053,0.05053,0,1,0.000,0,0,
10,44855,7,Medical,623,Member,NonAffiliate,AD,10179,0.06241,0.06241,0,1,0.000,0,0,
1,93077,4,MajorPurchase,825,Member,NonAffiliate,AI,47237,0.03313,0.03313,1,0,0.550,1,1,6
5,50599,6,HomeImprovement,697,Member,NonAffiliate,AB,24932,0.04977,0.04977,1,0,0.550,0,1,
5,57799,4,HomeImprovement,698,Member,Affiliate,AD,38828,0.04691,0.04691,1,0,0.500,0,0,
2,82794,3,Auto,844,Member,Affiliate,AB,46752,0.03200,0.03200,1,0,0.500,1,1,1
4,83616,2,Auto,792,Member,NonAffiliate,AH,42721,0.03685,0.03685,1,0,0.550,1,1,9
6,55416,4,Medical,659,Member,NonAffiliate,AH,30814,0.05363,0.05363,1,0,0.550,0,1,
1,79944,2,Medical,824,NonMember,NonAffiliate,AG,46883,0.03200,0.03200,1,0,0.450,0,1,
7,49290,4,Medical,643,Member,NonAffiliate,AA,33858,0.05233,0.05233,0,1,0.000,0,0,
3,72476,6,MajorPurchase,773,NonMember,Affiliate,AA,39597,0.03967,0.03967,1,0,0.400,1,0,10
4,53570,6,Medical,711,Member,NonAffiliate,AC,34130,0.04755,0.04755,0,1,0.000,0,0,
4,52559,7,DebtConsolidation,713,Member,NonAffiliate,AD,26987,0.04931,0.04931,0,1,0.000,0,0,
3,64028,4,MajorPurchase,726,NonMember,NonAffiliate,AC,40054,0.04333,0.04333,1,0,0.450,0,1,
5,56543,5,Medical,718,Member,NonAffiliate,AC,42253,0.04729,0.04729,1,0,0.550,1,1,7
9,46639,6,MajorPurchase,638,Member,NonAffiliate,AB,20916,0.05905,0.05905,0,1,0.000,0,0,
5,51352,2,DebtConsolidation,688,Member,NonAffiliate,AD,29105,0.04607,0.04607,1,0,0.550,0,1,
5,66728,7,Medical,745,Member,NonAffiliate,AB,29224,0.04569,0.04569,0,1,0.000,0,0,
7,46352,6,MajorPurchase,662,Member,NonAffiliate,AI,29828,0.05573,0.05573,0,1,0.000,0,0,
10,44564,7,Medical,613,Member,NonAffiliate,AB,19699,0.06307,0.06307,0,1,0.000,0,0,
1,96273,3,DebtConsolidation,834,Member,NonAffiliate,AG,53315,0.03200,0.03200,1,0,0.550,0,1,
3,58682,5,Medical,728,Member,Affiliate,AB,42328,0.04143,0.04143,1,0,0.500,1,1,4
9,43905,3,Auto,601,NonMember,NonAffiliate,AD,17116,0.05937,0.05937,1,0,0.450,0,0,
9,42673,7,Medical,600,NonMember,Affiliate,AG,9779,0.06303,0.06303,1,0,0.400,1,1,1
6,60184,5,HomeImprovement,669,Member,NonAffiliate,AC,16497,0.05199,0.05199,1,0,0.550,1,0,9
3,70507,6,MajorPurchase,740,Member,Affiliate,AC,37013,0.04153,0.04153,1,0,0.500,1,1,6
3,83702,6,Medical,767,Member,NonAffiliate,AI,48137,0.04281,0.04281,1,0,0.550,1,1,2
8,48535,3,Medical,673,NonMember,Affiliate,AA,16022,0.04999,0.04999,1,0,0.400,1,1,2
6,52683,6,Auto,660,NonMember,NonAffiliate,AC,21727,0.05413,0.05413,0,1,0.000,0,0,
4,78933,4,DebtConsolidation,777,Member,NonAffiliate,AD,45541,0.04031,0.04031,1,0,0.550,1,1,8
3,72279,4,HomeImprovement,789,NonMember,NonAffiliate,AB,40770,0.03745,0.03745,1,0,0.450,0,1,
2,76967,3,HomeImprovement,792,Member,Affiliate,AH,41278,0.03455,0.03455,1,0,0.500,0,1,
3,64851,3,DebtConsolidation,752,NonMember,NonAffiliate,AH,40698,0.04157,0.04157,0,1,0.000,0,0,
5,59180,4,DebtConsolidation,735,NonMember,NonAffiliate,AA,39375,0.04429,0.04429,1,0,0.450,0,1,
4,62204,4,MajorPurchase,690,NonMember,NonAffiliate,AE,19501,0.04663,0.04663,1,0,0.450,0,1,
10,46602,2,Auto,637,Member,Affiliate,AA,13002,0.05331,0.05331,1,0,0.500,0,1,
4,75632,3,HomeImprovement,745,Member,Affiliate,AE,24175,0.03759,0.03759,0,1,0.000,0,0,
10,43217,6,DebtConsolidation,621,NonMember,NonAffiliate,AD,28326,0.06215,0.06215,1,0,0.450,1,1,5
6,59466,7,DebtConsolidation,688,Member,NonAffiliate,AF,19369,0.05293,0.05293,0,1,0.000,0,0,
8,49294,5,DebtConsolidation,644,NonMember,Affiliate,AB,28987,0.05459,0.05459,1,0,0.400,0,1,
8,47874,4,Auto,651,Member,NonAffiliate,AC,15867,0.05455,0.05455,1,0,0.550,0,1,
1,98174,2,DebtConsolidation,845,Member,NonAffiliate,AC,39131,0.03200,0.03200,1,0,0.550,1,1,2
8,56894,5,HomeImprovement,670,NonMember,Affiliate,AD,23088,0.05393,0.05393,0,1,0.000,0,0,
1,85136,7,Medical,831,Member,NonAffiliate,AD,45976,0.03563,0.03563,1,0,0.550,0,1,
1,89918,5,MajorPurchase,847,NonMember,NonAffiliate,AA,55802,0.03200,0.03200,1,0,0.450,1,0,2
1,85948,5,HomeImprovement,834,Member,Affiliate,AI,48207,0.03283,0.03283,1,0,0.500,0,1,
3,63649,3,Medical,745,NonMember,Affiliate,AB,28827,0.03839,0.03839,1,0,0.400,1,1,9
8,51256,2,DebtConsolidation,665,NonMember,NonAffiliate,AE,32712,0.04987,0.04987,0,1,0.000,0,0,
4,47285,7,Auto,682,NonMember,NonAffiliate,AE,21328,0.05017,0.05017,1,0,0.450,1,0,10
5,64564,5,MajorPurchase,744,Member,NonAffiliate,AE,25667,0.04249,0.04249,0,1,0.000,0,0,
8,42058,5,HomeImprovement,609,NonMember,Affiliate,AH,26331,0.05991,0.05991,1,0,0.400,0,0,
2,93572,4,MajorPurchase,834,NonMember,NonAffiliate,AC,53947,0.03347,0.03347,1,0,0.450,1,1,10
4,77144,4,HomeImprovement,782,NonMember,Affiliate,AC,51270,0.03749,0.03749,1,0,0.400,0,1,
2,82414,4,DebtConsolidation,810,NonMember,NonAffiliate,AG,37923,0.03615,0.03615,1,0,0.450,0,1,
2,74824,7,Auto,816,Member,NonAffiliate,AI,52675,0.03943,0.03943,1,0,0.550,0,0,
2,85206,2,Auto,814,Member,NonAffiliate,AB,51189,0.03200,0.03200,1,0,0.550,0,0,
3,81529,4,HomeImprovement,774,NonMember,Affiliate,AA,43638,0.03721,0.03721,1,0,0.400,0,1,
6,59791,4,HomeImprovement,671,Member,NonAffiliate,AH,18189,0.05199,0.05199,0,1,0.000,0,0,
8,51306,7,HomeImprovement,633,NonMember,NonAffiliate,AG,18330,0.06171,0.06171,0,1,0.000,0,0,
8,43551,7,Medical,662,NonMember,NonAffiliate,AF,36241,0.05757,0.05757,0,1,0.000,0,0,
6,49399,6,DebtConsolidation,699,Member,NonAffiliate,AF,26994,0.05167,0.05167,1,0,0.550,1,1,10
7,51291,7,DebtConsolidation,647,Member,NonAffiliate,AH,31850,0.05823,0.05823,1,0,0.550,0,1,
4,59105,2,Auto,685,NonMember,NonAffiliate,AE,20110,0.04417,0.04417,1,0,0.450,0,1,
1,99686,7,Medical,844,Member,NonAffiliate,AE,46837,0.03237,0.03237,1,0,0.550,0,1,
7,49399,5,HomeImprovement,648,NonMember,NonAffiliate,AE,15477,0.05435,0.05435,1,0,0.450,0,1,
4,65598,2,Auto,739,Member,NonAffiliate,AF,29868,0.04135,0.04135,1,0,0.550,1,1,9
2,85633,5,Medical,843,NonMember,Affiliate,AC,53596,0.03200,0.03200,1,0,0.400,0,1,
4,57798,7,Medical,684,NonMember,NonAffiliate,AG,29719,0.05237,0.05237,0,1,0.000,0,0,
8,51037,4,HomeImprovement,679,NonMember,NonAffiliate,AB,35068,0.05307,0.05307,1,0,0.450,1,1,5
10,49245,6,Medical,613,NonMember,Affiliate,AD,14663,0.06247,0.06247,0,1,0.000,0,0,
6,57924,2,MajorPurchase,660,Member,Affiliate,AA,19419,0.04579,0.04579,0,1,0.000,0,0,
7,47208,5,DebtConsolidation,641,Member,NonAffiliate,AE,32730,0.05323,0.05323,0,1,0.000,0,0,
5,55909,5,DebtConsolidation,721,NonMember,NonAffiliate,AB,28512,0.04605,0.04605,0,1,0.000,0,0,
2,79311,7,MajorPurchase,833,NonMember,NonAffiliate,AA,36428,0.03609,0.03609,0,1,0.000,0,0,
1,75473,4,Medical,815,Member,Affiliate,AG,49131,0.03259,0.03259,1,0,0.500,1,0,4
7,44225,4,MajorPurchase,645,NonMember,Affiliate,AH,24757,0.05419,0.05419,0,1,0.000,0,0,
8,58712,6,HomeImprovement,670,NonMember,NonAffiliate,AI,17860,0.05779,0.05779,0,1,0.000,0,0,
2,76728,2,DebtConsolidation,778,Member,Affiliate,AH,30174,0.03517,0.03517,1,0,0.500,1,1,8
1,85866,7,Medical,818,Member,Affiliate,AH,39268,0.03665,0.03665,1,0,0.500,0,1,
2,87193,7,Medical,834,Member,NonAffiliate,AG,46711,0.03693,0.03693,1,0,0.550,1,1,7
6,43823,3,HomeImprovement,675,Member,NonAffiliate,AC,23926,0.04953,0.04953,1,0,0.550,0,1,
8,45448,2,Auto,647,NonMember,NonAffiliate,AD,15600,0.05365,0.05365,0,1,0.000,0,0,
2,80147,2,MajorPurchase,841,Member,Affiliate,AD,46190,0.03200,0.03200,1,0,0.500,0,1,
2,76901,3,Auto,775,Member,NonAffiliate,AC,34746,0.03667,0.03667,1,0,0.550,1,1,4
2,76956,5,HomeImprovement,815,Member,NonAffiliate,AF,39644,0.03585,0.03585,1,0,0.550,0,1,
8,49936,4,MajorPurchase,644,Member,Affiliate,AG,27236,0.05379,0.05379,0,1,0.000,0,0,
2,79071,5,MajorPurchase,780,Member,Affiliate,AI,45782,0.03735,0.03735,1,0,0.500,0,1,
4,69878,2,Auto,719,NonMember,NonAffiliate,AB,31262,0.04315,0.04315,1,0,0.450,0,1,
5,64908,6,MajorPurchase,688,NonMember,NonAffiliate,AF,28374,0.05167,0.05167,1,0,0.450,1,0,4
4,55343,7,DebtConsolidation,680,Member,NonAffiliate,AH,25225,0.05177,0.05177,0,1,0.000,0,0,
5,69517,5,HomeImprovement,753,Member,Affiliate,AC,27939,0.04239,0.04239,1,0,0.500,0,1,
6,46463,2,HomeImprovement,668,Member,NonAffiliate,AA,16933,0.04729,0.04729,0,1,0.000,0,0,
1,82537,4,Medical,836,Member,Affiliate,AD,48931,0.03200,0.03200,1,0,0.500,1,1,6
4,74881,5,HomeImprovement,743,Member,Affiliate,AA,39457,0.04023,0.04023,0,1,0.000,0,0,
7,50708,5,HomeImprovement,671,NonMember,Affiliate,AF,34782,0.05267,0.05267,1,0,0.400,0,1,
7,61003,3,DebtConsolidation,673,Member,NonAffiliate,AH,22469,0.05173,0.05173,0,1,0.000,0,0,
3,68734,4,DebtConsolidation,772,NonMember,Affiliate,AF,31693,0.03867,0.03867,0,1,0.000,0,0,
10,39093,3,Medical,618,NonMember,Affiliate,AH,24078,0.05951,0.05951,1,0,0.400,0,0,
3,84709,3,DebtConsolidation,777,Member,Affiliate,AF,36138,0.03647,0.03647,1,0,0.500,0,1,
2,87915,4,MajorPurchase,805,Member,NonAffiliate,AC,38930,0.03435,0.03435,1,0,0.550,1,1,9
4,53416,6,MajorPurchase,712,Member,NonAffiliate,AG,27211,0.04841,0.04841,1,0,0.550,1,1,6
4,53713,4,DebtConsolidation,695,NonMember,NonAffiliate,AE,18073,0.04663,0.04663,0,1,0.000,0,0,
6,47905,4,MajorPurchase,672,NonMember,Affiliate,AF,23448,0.05053,0.05053,1,0,0.400,1,1,5
4,63439,3,Medical,720,NonMember,Affiliate,AB,40723,0.04103,0.04103,1,0,0.400,0,1,
5,50544,5,DebtConsolidation,699,Member,Affiliate,AE,32613,0.04621,0.04621,0,1,0.000,0,0,
6,60660,3,Auto,691,NonMember,NonAffiliate,AI,23242,0.05037,0.05037,0,1,0.000,0,0,
1,82898,7,DebtConsolidation,843,NonMember,NonAffiliate,AH,39011,0.03603,0.03603,1,0,0.450,1,1,9
10,45538,5,Medical,601,NonMember,NonAffiliate,AB,9202,0.06173,0.06173,0,1,0.000,0,0,
9,46475,6,Medical,613,Member,Affiliate,AI,13990,0.06157,0.06157,0,1,0.000,0,0,
4,69415,2,HomeImprovement,766,Member,NonAffiliate,AH,45789,0.03861,0.03861,1,0,0.550,1,0,5
7,61310,4,HomeImprovement,679,NonMember,Affiliate,AE,36989,0.04977,0.04977,1,0,0.400,0,1,
7,43915,5,HomeImprovement,675,Member,NonAffiliate,AF,22607,0.05323,0.05323,0,1,0.000,0,0,
6,43160,3,DebtConsolidation,640,Member,Affiliate,AD,34409,0.05023,0.05023,1,0,0.500,0,1,
4,70249,3,DebtConsolidation,721,Member,NonAffiliate,AF,32430,0.04249,0.04249,1,0,0.550,1,1,8
2,86294,3,DebtConsolidation,812,NonMember,Affiliate,AE,41456,0.03200,0.03200,1,0,0.400,0,1,
4,46359,6,DebtConsolidation,682,Member,NonAffiliate,AB,36950,0.04871,0.04871,0,1,0.000,0,0,
7,59638,4,MajorPurchase,670,NonMember,NonAffiliate,AD,23113,0.05323,0.05323,1,0,0.450,0,1,
10,34698,2,Medical,634,Member,Affiliate,AF,15811,0.05471,0.05471,0,1,0.000,0,0,
7,53572,3,HomeImprovement,675,NonMember,NonAffiliate,AH,35239,0.05267,0.05267,1,0,0.450,0,0,
8,30467,2,Auto,605,NonMember,NonAffiliate,AH,18904,0.05787,0.05787,0,1,0.000,0,0,
7,53649,7,MajorPurchase,651,NonMember,Affiliate,AI,15763,0.05825,0.05825,1,0,0.400,0,1,
8,52175,3,Medical,642,Member,NonAffiliate,AD,31726,0.05373,0.05373,1,0,0.550,1,1,5
5,75713,3,MajorPurchase,757,Member,NonAffiliate,AB,45502,0.04077,0.04077,1,0,0.550,0,1,
4,71165,2,MajorPurchase,778,Member,Affiliate,AD,44763,0.03641,0.03641,1,0,0.500,1,1,6
2,80334,3,DebtConsolidation,811,Member,Affiliate,AC,48404,0.03200,0.03200,1,0,0.500,0,0,
2,93420,5,HomeImprovement,828,Member,NonAffiliate,AE,53905,0.03227,0.03227,1,0,0.550,0,0,
4,63157,2,Auto,726,Member,NonAffiliate,AI,39720,0.04259,0.04259,1,0,0.550,1,1,6
8,39956,6,DebtConsolidation,645,Member,NonAffiliate,AA,23045,0.05579,0.05579,0,1,0.000,0,0,
4,73793,4,MajorPurchase,737,NonMember,NonAffiliate,AD,30048,0.04489,0.04489,1,0,0.450,1,1,10
5,68953,5,HomeImprovement,705,NonMember,Affiliate,AH,33332,0.04805,0.04805,1,0,0.400,0,1,
10,36808,3,DebtConsolidation,621,Member,Affiliate,AE,24278,0.05415,0.05415,1,0,0.500,1,1,3
7,54530,7,Auto,674,NonMember,NonAffiliate,AI,27138,0.05793,0.05793,0,1,0.000,0,0,
6,52618,5,DebtConsolidation,666,NonMember,Affiliate,AC,30558,0.05137,0.05137,1,0,0.400,1,1,6
2,90932,5,DebtConsolidation,838,Member,NonAffiliate,AC,37606,0.03379,0.03379,1,0,0.550,1,1,2
1,96194,2,Medical,843,NonMember,Affiliate,AD,51010,0.03200,0.03200,1,0,0.400,0,1,
2,87068,7,Auto,789,Member,NonAffiliate,AB,31345,0.03911,0.03911,1,0,0.550,0,1,
3,63114,6,Auto,760,Member,NonAffiliate,AH,42164,0.04241,0.04241,0,1,0.000,0,0,
2,93277,6,DebtConsolidation,842,NonMember,NonAffiliate,AH,54412,0.03571,0.03571,1,0,0.450,0,1,
2,100659,7,Medical,849,Member,Affiliate,AA,39330,0.03223,0.03223,1,0,0.500,0,1,
4,79948,2,MajorPurchase,774,NonMember,NonAffiliate,AI,49201,0.04001,0.04001,1,0,0.450,1,1,6
5,73934,6,DebtConsolidation,735,NonMember,NonAffiliate,AA,40118,0.04663,0.04663,1,0,0.450,0,1,
9,45224,3,MajorPurchase,606,Member,NonAffiliate,AI,8697,0.05953,0.05953,0,1,0.000,0,0,
4,64214,3,Auto,682,NonMember,Affiliate,AA,33640,0.04411,0.04411,0,1,0.000,0,0,
2,91055,3,MajorPurchase,815,NonMember,NonAffiliate,AI,42298,0.03569,0.03569,1,0,0.450,1,1,7
5,72692,2,Medical,751,Member,Affiliate,AE,28727,0.03739,0.03739,1,0,0.500,1,0,5
6,50977,5,MajorPurchase,652,NonMember,Affiliate,AE,15355,0.05185,0.05185,0,1,0.000,0,0,
2,72504,2,Medical,791,Member,NonAffiliate,AI,40311,0.03525,0.03525,1,0,0.550,1,1,1
7,54904,6,MajorPurchase,647,NonMember,NonAffiliate,AE,13089,0.05555,0.05555,0,1,0.000,0,0,
1,78565,4,Medical,834,Member,NonAffiliate,AB,40108,0.03200,0.03200,1,0,0.550,1,1,6
1,87289,3,Auto,849,Member,Affiliate,AA,54407,0.03200,0.03200,1,0,0.500,0,1,
6,54051,4,HomeImprovement,654,Member,Affiliate,AH,31548,0.05213,0.05213,1,0,0.500,1,1,1
8,51649,2,Auto,674,Member,NonAffiliate,AH,37457,0.05147,0.05147,0,1,0.000,0,0,
4,81893,5,DebtConsolidation,766,NonMember,NonAffiliate,AI,42838,0.04361,0.04361,0,1,0.000,0,0,
10,33641,4,MajorPurchase,608,NonMember,Affiliate,AI,30557,0.06105,0.06105,0,1,0.000,0,0,
5,71858,6,Medical,726,NonMember,Affiliate,AC,29947,0.04635,0.04635,1,0,0.400,0,1,
2,84372,5,HomeImprovement,777,NonMember,NonAffiliate,AA,27328,0.03903,0.03903,0,1,0.000,0,0,
10,37275,2,Auto,602,NonMember,NonAffiliate,AE,15534,0.05727,0.05727,1,0,0.450,1,0,10
6,54317,3,DebtConsolidation,664,Member,NonAffiliate,AH,14834,0.05079,0.05079,0,1,0.000,0,0,
5,70067,2,HomeImprovement,708,Member,Affiliate,AI,35805,0.04385,0.04385,0,1,0.000,0,0,
1,84108,6,HomeImprovement,844,Member,NonAffiliate,AE,53326,0.03200,0.03200,0,1,0.000,0,0,
1,95380,5,Auto,829,Member,NonAffiliate,AA,45215,0.03200,0.03200,1,0,0.550,1,1,9
9,53655,6,Medical,639,NonMember,NonAffiliate,AC,24321,0.06065,0.06065,1,0,0.450,1,0,3
2,92527,3,Medical,848,Member,NonAffiliate,AI,50890,0.03200,0.03200,1,0,0.550,0,0,
1,99173,3,Auto,847,Member,NonAffiliate,AB,37391,0.03200,0.03200,1,0,0.550,1,1,6
9,28678,7,DebtConsolidation,602,NonMember,Affiliate,AG,27107,0.06291,0.06291,0,1,0.000,0,0,
4,64589,5,DebtConsolidation,763,Member,Affiliate,AH,28876,0.04083,0.04083,1,0,0.500,0,0,
1,88842,2,Medical,825,Member,NonAffiliate,AH,56958,0.03200,0.03200,1,0,0.550,1,1,5
8,38644,4,MajorPurchase,621,Member,NonAffiliate,AH,18255,0.05751,0.05751,0,1,0.000,0,0,
2,77744,7,Auto,772,NonMember,NonAffiliate,AD,42747,0.04291,0.04291,0,1,0.000,0,0,
2,83577,5,HomeImprovement,847,Member,NonAffiliate,AH,51722,0.03351,0.03351,1,0,0.550,1,1,3
9,39914,4,Medical,606,NonMember,NonAffiliate,AB,9216,0.05953,0.05953,0,1,0.000,0,0,
2,79278,3,DebtConsolidation,824,Member,Affiliate,AA,54379,0.03200,0.03200,1,0,0.500,0,0,
1,73967,6,Auto,812,Member,Affiliate,AG,38704,0.03505,0.03505,1,0,0.500,0,1,
2,90794,4,HomeImprovement,828,Member,Affiliate,AD,55248,0.03200,0.03200,1,0,0.500,0,1,
2,80946,2,Medical,841,Member,NonAffiliate,AF,58048,0.03200,0.03200,1,0,0.550,1,1,5
2,93829,5,Medical,845,Member,NonAffiliate,AH,51803,0.03351,0.03351,1,0,0.550,0,1,
4,70910,7,HomeImprovement,726,Member,NonAffiliate,AC,44464,0.04693,0.04693,0,1,0.000,0,0,
5,60825,5,Medical,712,Member,NonAffiliate,AB,31797,0.04675,0.04675,0,1,0.000,0,0,
3,70421,5,HomeImprovement,782,Member,NonAffiliate,AG,51640,0.03899,0.03899,0,1,0.000,0,0,
4,53863,4,HomeImprovement,684,NonMember,Affiliate,AG,20529,0.04727,0.04727,0,1,0.000,0,0,
2,74995,5,DebtConsolidation,804,Member,Affiliate,AE,47312,0.03259,0.03259,1,0,0.500,0,1,
6,58808,6,DebtConsolidation,716,Member,Affiliate,AB,29515,0.04751,0.04751,0,1,0.000,0,0,
1,83021,4,MajorPurchase,802,Member,NonAffiliate,AH,31326,0.03455,0.03455,1,0,0.550,1,0,5
8,32575,4,MajorPurchase,620,NonMember,NonAffiliate,AE,10330,0.05591,0.05591,0,1,0.000,0,0,
5,50884,7,HomeImprovement,703,Member,NonAffiliate,AD,28135,0.05031,0.05031,0,1,0.000,0,0,
10,37005,3,Auto,617,NonMember,Affiliate,AI,30916,0.05985,0.05985,0,1,0.000,0,0,
6,58624,4,MajorPurchase,718,NonMember,Affiliate,AC,42917,0.04659,0.04659,1,0,0.400,1,1,4
5,57197,2,DebtConsolidation,721,NonMember,NonAffiliate,AD,27225,0.04355,0.04355,1,0,0.450,1,1,6
7,53342,2,HomeImprovement,677,Member,NonAffiliate,AI,38464,0.05087,0.05087,1,0,0.550,1,1,7
6,51510,2,Auto,702,Member,NonAffiliate,AB,27882,0.04421,0.04421,1,0,0.550,1,0,2
3,63341,3,Medical,747,Member,NonAffiliate,AF,32075,0.03973,0.03973,1,0,0.550,1,1,10
2,75755,2,Medical,792,NonMember,Affiliate,AI,35688,0.03481,0.03481,0,1,0.000,0,0,
7,50270,5,HomeImprovement,649,Member,NonAffiliate,AI,31693,0.05623,0.05623,0,1,0.000,0,0,
1,100534,4,HomeImprovement,846,Member,NonAffiliate,AB,35994,0.03200,0.03200,1,0,0.550,1,0,2
2,94407,7,DebtConsolidation,824,Member,NonAffiliate,AC,41327,0.03613,0.03613,1,0,0.550,1,1,1
10,36921,2,Auto,615,NonMember,Affiliate,AE,15519,0.05577,0.05577,0,1,0.000,0,0,
3,69053,6,Auto,739,Member,Affiliate,AC,22785,0.04335,0.04335,0,1,0.000,0,0,
3,70903,2,Auto,764,Member,NonAffiliate,AI,37991,0.03807,0.03807,1,0,0.550,0,0,
1,81708,4,Medical,848,Member,Affiliate,AH,58777,0.03200,0.03200,1,0,0.500,1,1,9
5,66122,4,HomeImprovement,712,Member,NonAffiliate,AB,26442,0.04561,0.04561,0,1,0.000,0,0,
5,65885,5,HomeImprovement,727,Member,Affiliate,AI,43148,0.04563,0.04563,1,0,0.500,0,1,
6,61685,3,HomeImprovement,719,Member,NonAffiliate,AA,25856,0.04491,0.04491,0,1,0.000,0,0,
1,95213,6,MajorPurchase,848,Member,NonAffiliate,AH,48275,0.03377,0.03377,1,0,0.550,0,1,
5,59182,2,Medical,689,Member,Affiliate,AF,24535,0.04437,0.04437,1,0,0.500,1,0,10
2,87835,7,Auto,842,NonMember,NonAffiliate,AA,48341,0.03467,0.03467,1,0,0.450,0,1,
3,72890,2,MajorPurchase,787,NonMember,Affiliate,AD,51491,0.03459,0.03459,1,0,0.400,1,1,5
4,69722,4,Medical,756,NonMember,NonAffiliate,AH,46998,0.04377,0.04377,0,1,0.000,0,0,
2,93827,4,Medical,817,Member,NonAffiliate,AG,51606,0.03503,0.03503,0,1,0.000,0,0,
2,81426,4,MajorPurchase,805,Member,NonAffiliate,AC,34858,0.03435,0.03435,1,0,0.550,0,1,
4,86286,7,DebtConsolidation,782,Member,NonAffiliate,AB,35288,0.04111,0.04111,1,0,0.550,1,1,10
10,42234,7,MajorPurchase,623,Member,NonAffiliate,AC,17141,0.06191,0.06191,0,1,0.000,0,0,
8,49473,6,DebtConsolidation,646,Member,NonAffiliate,AA,23083,0.05579,0.05579,0,1,0.000,0,0,
2,80110,7,Auto,816,NonMember,NonAffiliate,AA,52862,0.03773,0.03773,0,1,0.000,0,0,
4,73098,6,DebtConsolidation,719,Member,Affiliate,AC,23858,0.04611,0.04611,0,1,0.000,0,0,
2,80489,5,Medical,809,Member,Affiliate,AE,47585,0.03259,0.03259,1,0,0.500,1,1,1
2,81843,6,HomeImprovement,825,Member,NonAffiliate,AD,49697,0.03543,0.03543,1,0,0.550,1,0,4
4,67086,6,DebtConsolidation,716,NonMember,NonAffiliate,AI,30767,0.05015,0.05015,0,1,0.000,0,0,
2,82531,4,HomeImprovement,813,Member,NonAffiliate,AC,50119,0.03423,0.03423,1,0,0.550,1,0,2
2,93513,6,MajorPurchase,849,Member,Affiliate,AC,40987,0.03207,0.03207,1,0,0.500,1,1,10
2,92034,4,Auto,848,NonMember,NonAffiliate,AD,40218,0.03267,0.03267,1,0,0.450,0,1,
4,84954,3,HomeImprovement,774,Member,NonAffiliate,AB,49251,0.03801,0.03801,1,0,0.550,1,1,4
5,62588,3,Medical,740,Member,Affiliate,AC,25233,0.03999,0.03999,1,0,0.500,0,0,
4,71810,3,Medical,715,NonMember,NonAffiliate,AB,23712,0.04441,0.04441,0,1,0.000,0,0,
5,64195,6,Medical,713,Member,Affiliate,AH,35661,0.04825,0.04825,1,0,0.500,1,1,4
2,81816,5,DebtConsolidation,773,Member,Affiliate,AF,41714,0.03781,0.03781,0,1,0.000,0,0,
8,47277,5,HomeImprovement,610,Member,NonAffiliate,AD,13179,0.05977,0.05977,0,1,0.000,0,0,
3,62994,5,Medical,723,NonMember,Affiliate,AG,28817,0.04395,0.04395,1,0,0.400,0,0,
2,89280,2,HomeImprovement,848,Member,NonAffiliate,AG,55056,0.03200,0.03200,1,0,0.550,1,1,6
9,35760,2,MajorPurchase,600,NonMember,NonAffiliate,AC,7650,0.05773,0.05773,0,1,0.000,0,0,
7,41485,7,HomeImprovement,650,Member,NonAffiliate,AF,22767,0.05739,0.05739,1,0,0.550,0,0,
1,83960,2,Medical,842,Member,Affiliate,AH,42547,0.03200,0.03200,1,0,0.500,0,0,
2,83228,2,HomeImprovement,791,Member,Affiliate,AI,51443,0.03369,0.03369,1,0,0.500,0,1,
6,59999,6,Auto,668,NonMember,Affiliate,AI,29896,0.05423,0.05423,0,1,0.000,0,0,
4,78812,2,Medical,752,NonMember,NonAffiliate,AB,24566,0.03969,0.03969,1,0,0.450,0,1,
1,81147,3,Auto,833,Member,Affiliate,AG,57881,0.03200,0.03200,1,0,0.500,1,1,5
2,77824,6,DebtConsolidation,828,Member,NonAffiliate,AE,51878,0.03347,0.03347,1,0,0.550,1,1,3
